name;cpu_weight;net_weight
kennybennett;300000;30000
kikikikikiki;10000;10000
kingofdislik;10000;10000
kingstiding5;10000;10000
kourouklides;10000;10000
krasarsenone;10000;10000
kryptoraider;10000;10000
kylieminogue;840000;10000
lamammasitta;10000;10000
laylaclapton;10000;10000
laylagirl123;10000;10000
ledgerblocks;10000000;10000000
legendarylej;10000;10000
legordezhicl;10000;10000
libertarians;10000;10000
lidiazzzzuin;10000;10000
lifeinbeeeet;2010000;10000
lightbringer;10000;10000
likesmoke232;10000;110000
limengguan12;10000;10000
littlekitten;26310000;26310000
liveislifeop;3010000;2010000
livelovegive;10000;10000
loooooooooch;90010000;85010000
lordbalder11;10000;10000
ludorumdotme;10000;10000
malinalepke1;10000;10000
mammasitta33;10000;10000
maratacrobat;10000;10000
marcinucommu;10000;10000
marcusfenixx;10000;10000
marginstreet;10000;10000
marioandrade;10000;10000
markuscashaa;10000;10000
martinbreuer;610000;610000
martincollin;10000;10000
martisanchez;10000;10000
mastasudokey;1010000;1010000
mattmattmatt;10000;10000
menaskop1234;10000;10000
menaskop2345;10000;10000
mentormarket;10000;10000
meranofa1234;10000;10000
mesoulgarden;10000;10000
mikekjohnson;210000;210000
miniminixuos;10000;10000
mobelea12345;10000;10000
mobilandroid;250010000;10000
momocrypto22;10000;10000
mortalkombat;4510000;4510000
movievertigo;133710000;133710000
mpalanyivict;10000;10000
mrsdudette12;10000;10000
mycryptonite;70000;70000
mynameisbean;10000;10000
nareshgoura1;10000;10000
nastja111111;10000;10000
nastyaromano;10000;10000
nastynjkaaaa;10000;10000
natenatenate;10000;10000
naturaldrink;10000;10000
nevermindyou;3010000;3010000
newdeath2msm;10000;10000
newtestyyyyy;30000;230000
newzengarden;10000;10000
nextvidioacc;10000;10000
nickigerleos;10000;10000
nihilism2day;120010000;120010000
nodosoberano;10000;10000
nofixedabode;10000;10000
nopainnogame;1010000;1010000
normbondshow;10000;10000
oguzkirmantr;10000;10000
omgomgomgomg;10000;10000
onequestions;110000;60000
operolium124;10000;10000
outlasted112;10000;10000
oxymorongree;10000;10000
palhargitai1;10000;10000
pavelllkosov;10000;10000
pepemadridpe;10000;10000
permdahlberg;10000;10000
philadelphia;10000;10000
philipmorris;330000;10000
philosopher1;10000;10000
pilgunpilgun;10000;10000
pinacoladase;2000010000;10000
pipinlonglik;200010000;200010000
plasmolabru1;10000;10000
potusnumbero;10000;10000
pramodchandr;10000;10000
prohibitnklz;10000;10000
prusha123123;10000;10000
q21131232313;10000;10000
qrqrqfsfsfsf;10000;10000
queensucre12;10000;10000
qwerasdfzxcv;10000;10000
